cell,conc,logConc,1,2,3,4
MCF7,0.00000025,-6.602059991,39.01809,46.40231,51.51003,
MCF7,0.0000005,-6.301029996,38.85366,28.55773,53.28817,
T47D,1.00E-10,-10,100,100,100,
T47D,0.000000001,-9,100.0331,96.45705,103.2974,
T47D,2.50E-09,-8.602059991,99.86777,97.34278,102.2853,
T47D,0.000000005,-8.301029996,82.95867,92.64838,89.14463,
T47D,0.00000001,-8,87.02479,90.12401,80.01959,
T47D,0.000000025,-7.602059991,77.07437,72.05492,77.53837,
T47D,0.00000005,-7.301029996,70.95868,55.13729,67.72773,
T47D,0.0000001,-7,65.90082,40.69974,67.54815,
T47D,0.00000025,-6.602059991,42.89256,33.43667,41.00555,
T47D,0.0000005,-6.301029996,42.66116,27.81222,34.98204,
SKBR3,1.00E-10,-10,100,100,100,
SKBR3,0.000000001,-9,98.68029,99.59973,107.9239,
SKBR3,2.50E-09,-8.602059991,95.05577,98.53235,113.2259,
SKBR3,0.000000005,-8.301029996,94.68401,95.33022,113.4978,
SKBR3,0.00000001,-8,90.55762,79.41962,110.4681,
SKBR3,0.000000025,-7.602059991,82.69517,76.21747,101.7673,
SKBR3,0.00000005,-7.301029996,68.60595,71.38092,96.29055,
SKBR3,0.0000001,-7,64.16357,59.30621,88.56089,
SKBR3,0.00000025,-6.602059991,46.95167,45.09673,64.45912,
SKBR3,0.0000005,-6.301029996,48.32714,34.48966,54.12701,
JIMT1,1.00E-10,-10,100,100,100,
JIMT1,0.000000001,-9,101.09444,99.13431197,98.03642863,
JIMT1,2.50E-09,-8.602059991,95.81897487,98.26863427,95.55752678,
JIMT1,0.000000005,-8.301029996,86.31332471,94.0885562,90.80408688,
JIMT1,0.00000001,-8,80.32464153,93.14866119,89.59573258,
JIMT1,0.000000025,-7.602059991,77.20116999,86.42098221,84.31808786,
JIMT1,0.00000005,-7.301029996,55.18937117,68.31562019,78.17859016,
JIMT1,0.0000001,-7,56.75110511,66.33688572,53.82496783,
JIMT1,0.00000025,-6.602059991,53.72601934,28.56790198,46.47712324,
JIMT1,0.0000005,-6.301029996,42.14215208,16.27504188,43.42070507,
MDAMB453,1.00E-10,-10,100,100,100,
MDAMB453,0.000000001,-9,90.83208841,97.08582513,95.58459121,
MDAMB453,2.50E-09,-8.602059991,98.03189591,95.12973724,106.3686456,
MDAMB453,0.000000005,-8.301029996,91.23069262,94.21158262,93.9752412,
MDAMB453,0.00000001,-8,90.83208841,92.73453836,96.54745628,
MDAMB453,0.000000025,-7.602059991,95.81465213,91.69661703,84.75928086,
MDAMB453,0.00000005,-7.301029996,84.3796703,83.79241889,86.09353125,
MDAMB453,0.0000001,-7,83.22121824,61.59680987,84.45667456,
MDAMB453,0.00000025,-6.602059991,69.76830588,51.61677288,70.42641343,
MDAMB453,0.0000005,-6.301029996,65.68261462,43.83233654,69.83494597,
BT474,1.00E-10,-10,100,100,100,100
BT474,1.00E-08,-8,101.2665,102.7323,107.5821,103.7807
BT474,5.00E-08,-7.301029996,94.54603,96.15827,111.2499,98.56071
BT474,1.00E-07,-7,91.29265,84.57561,106.89,113.9866
BT474,2.50E-07,-6.602059991,88.3084,90.66135,104.0894,100.1722
BT474,5.00E-07,-6.301029996,87.58806,89.09953,113.6447,108.5187
BT474,1.00E-06,-6,85.87034,87.77826,104.4793,97.77564
BT474,2.00E-06,-5.698970004,82.1895,92.06161,116.2543,93.76765
BT474,5.00E-06,-5.301029996,87.68305,97.98937,114.6312,61.35941
BT474,7.50E-06,-5.124938737,94.2294,95.96079,111.7273,71.13835
BT474,1.00E-05,-5,99.1451,107.1665,103.2962,80.20109
HCC1143,1.00E-10,-10,100,100,100,100
HCC1143,1.00E-08,-8,91.86631,88.28092,,85.17969
HCC1143,5.00E-08,-7.301029996,85.04068,80.85082,99.66058,85.76481
HCC1143,1.00E-07,-7,80.01752,72.54818,68.01358,66.12812
HCC1143,2.50E-07,-6.602059991,67.3918,63.58243,60.96885,59.61748
HCC1143,5.00E-07,-6.301029996,65.48198,61.71714,56.60717,55.29016
HCC1143,1.00E-06,-6,53.24895,58.79707,,51.79686
HCC1143,2.00E-06,-5.698970004,50.51701,55.20611,,50.73578
HCC1143,3.00E-06,-5.522878745,47.2511,54.02722,,
HCC1143,5.00E-06,-5.301029996,42.58391,48.97817,,44.61377
HCC1143,7.50E-06,-5.124938737,,,,36.11196
HCC1143,1.00E-05,-5,,,56.10381,22.1082
