gene,Erastin AUC to expression,RSL3 AUC to expression,FIN56 AUC to expression,Erastin AUC to Depscore,RSL3 AUC to Depscore,FIN56 AUC to Depscore
CFTR,-0.23167328128864026,-0.08370433384209029,0.020608803520327405,0.3030979705014005,0.4109898661116705,0.3136504888774505
ANKIB1,-0.1999556715751257,-0.1268029705586831,-0.14229607380705941,-0.3765013439951902,-0.2578473464491249,-0.04682138998875544
CYP51A1,-0.0423846702211267,0.10984745212718922,0.12261346359967563,0.22202078695111957,0.18315363578232088,0.18537958288451967
KRIT1,0.10594162085060362,0.17873387591643444,0.031122023029141944,-0.21227565025969547,-0.10996468387346414,0.07645346201761273
RAD52,-0.10871746498018572,0.20843896107610566,0.2503217372791145,0.2617072989908717,0.3163807707462203,0.021597641072953387
BAD,0.33946134399340727,0.1708748302803168,0.07677590830382978,0.2600976725203713,-0.2738154392148027,-0.3981074192125714
LAP3,-0.6060048641272594,-0.588955941961432,-0.479827054304604,-0.0992035065301871,-0.16398508629173267,-0.17023208973304654
CD99,-0.31264978682156286,-0.48376253812325165,-0.5223026667508927,0.05267044582754764,-0.14682200009285046,-0.5279411462954289
HS3ST1,-0.2507555191130321,-0.5877185456091322,-0.6741206124833306,0.2966156787819005,0.1849588098127698,-0.11150405451010263
AOC1,0.49491294391505825,0.5050600532436497,0.397155420592229,0.16424257823605887,0.008864895860245161,-0.29158182992241904
WNT16,0.11518008414013073,0.12570667625023593,0.12202849197244084,0.12660409127780914,-0.40564359248019455,-0.3863366051100012
