cell,conc,logConc,1,2,3,4
SKBR3,0.0000096,-5.017728767,55.36896,45.25661,33.41523,
SKBR3,0.0000192,-4.716698771,43.23557,40.34906,22.85012,
JIMT1,5.00E-08,-7.301029996,100,100,100,
JIMT1,0.0000003,-6.522878745,81.98727776,76.97445654,99.53161593,
JIMT1,0.0000006,-6.22184875,70.96188738,86.54224324,78.92271663,
JIMT1,0.0000012,-5.920818754,70.48546948,71.49312445,66.74473068,
JIMT1,0.0000024,-5.619788758,72.23229906,70.29469637,67.91569087,
JIMT1,0.0000048,-5.318758763,64.38293111,66.32612195,61.35831382,
JIMT1,0.0000096,-5.017728767,45.6442777,56.87623301,31.38173302,
JIMT1,0.0000192,-4.716698771,35.25407963,42.71119805,22.24824356,
MDAMB453,5.00E-08,-7.301029996,100,100,100,
MDAMB453,0.0000003,-6.522878745,83.86053199,78.12235806,145.2054795,
MDAMB453,0.0000006,-6.22184875,84.32782426,84.60669424,166.0958904,
MDAMB453,0.0000012,-5.920818754,67.86484786,88.97658648,133.2191781,
MDAMB453,0.0000024,-5.619788758,67.61322606,78.57344268,114.7260274,
MDAMB453,0.0000048,-5.318758763,60.13658719,66.22497281,113.3561644,
MDAMB453,0.0000096,-5.017728767,41.04960308,50.49336409,85.61643836,
MDAMB453,0.0000192,-4.716698771,26.56362298,32.53453817,32.19178082,
HCC1143,1.00E-09,-9,100,100,100,100
HCC1143,1.00E-08,-8,91.86631,88.28092,,85.17969
HCC1143,5.00E-08,-7.301029996,85.04068,80.85082,99.66058,85.76481
HCC1143,1.00E-07,-7,80.01752,72.54818,68.01358,66.12812
HCC1143,2.50E-07,-6.602059991,67.3918,63.58243,60.96885,59.61748
HCC1143,5.00E-07,-6.301029996,65.48198,61.71714,56.60717,55.29016
HCC1143,1.00E-06,-6,53.24895,58.79707,,51.79686
HCC1143,2.00E-06,-5.698970004,50.51701,55.20611,,50.73578
HCC1143,3.00E-06,-5.522878745,47.2511,54.02722,,
HCC1143,5.00E-06,-5.301029996,42.58391,48.97817,,44.61377
HCC1143,7.50E-06,-5.124938737,,,,36.11196
HCC1143,1.00E-05,-5,,,56.10381,22.1082
BT474,1.00E-09,-9,100,100,100,100
BT474,1.00E-08,-8,101.2665,102.7323,107.5821,103.7807
BT474,5.00E-08,-7.301029996,94.54603,96.15827,111.2499,98.56071
BT474,1.00E-07,-7,91.29265,84.57561,106.89,113.9866
BT474,2.50E-07,-6.602059991,88.3084,90.66135,104.0894,100.1722
BT474,5.00E-07,-6.301029996,87.58806,89.09953,113.6447,108.5187
BT474,1.00E-06,-6,85.87034,87.77826,104.4793,97.77564
BT474,2.00E-06,-5.698970004,82.1895,92.06161,116.2543,93.76765
BT474,3.00E-06,-5.522878745,,,,
BT474,5.00E-06,-5.301029996,87.68305,97.98937,114.6312,61.35941
BT474,7.50E-06,-5.124938737,94.2294,95.96079,111.7273,71.13835
BT474,1.00E-05,-5,99.1451,107.1665,103.2962,80.20109
